video_link,hashtag
https://www.tiktok.com/@xanumov/video/7588444355388574983,#real
https://www.tiktok.com/@xanumov/video/7588444355388574983,#loser
https://www.tiktok.com/@xanumov/video/7588444355388574983,#spidermanedit
https://www.tiktok.com/@xanumov/video/7588444355388574983,#mecore
https://www.tiktok.com/@_giafeliciano/video/7479289914366889234,#travel
https://www.tiktok.com/@_giafeliciano/video/7479289914366889234,#souvenir
https://www.tiktok.com/@_giafeliciano/video/7479289914366889234,#taipei
https://www.tiktok.com/@_giafeliciano/video/7479289914366889234,#taiwan
https://www.tiktok.com/@sanni_love/video/7506932935308692758,#heiseiretro
https://www.tiktok.com/@sanni_love/video/7506932935308692758,#juminocore
https://www.tiktok.com/@jettsconsulting/video/7514122239537859886,#freepalestine
https://www.tiktok.com/@ataloths/video/7606813272762830087,#minecraft
https://www.tiktok.com/@ataloths/video/7606813272762830087,#fyp
https://www.tiktok.com/@ataloths/video/7606813272762830087,#xyzcba
https://www.tiktok.com/@ataloths/video/7606813272762830087,#stretchtok
https://www.tiktok.com/@ataloths/video/7606813272762830087,#sad
https://www.tiktok.com/@wasai900/video/7601469197670976789,#melstroy
https://www.tiktok.com/@wasai900/video/7601469197670976789,#меллстрой
https://www.tiktok.com/@wasai900/video/7601469197670976789,#loser
https://www.tiktok.com/@wasai900/video/7601469197670976789,#losercore
https://www.tiktok.com/@wasai900/video/7601469197670976789,#щп
https://www.tiktok.com/@raine_wuz_here/video/7602675453630926098,#weird
https://www.tiktok.com/@raine_wuz_here/video/7602675453630926098,#aesthetic
https://www.tiktok.com/@raine_wuz_here/video/7602675453630926098,#summervibes
https://www.tiktok.com/@raine_wuz_here/video/7602675453630926098,#vibe
https://www.tiktok.com/@raine_wuz_here/video/7602675453630926098,#love
https://www.tiktok.com/@raine_wuz_here/video/7602675453630926098,#music
https://www.tiktok.com/@raine_wuz_here/video/7602675453630926098,#aestheticvideos
https://www.tiktok.com/@raine_wuz_here/video/7602675453630926098,#sweater
https://www.tiktok.com/@raine_wuz_here/video/7602675453630926098,#soulmate
https://www.tiktok.com/@raine_wuz_here/video/7602675453630926098,#goblincore
https://www.tiktok.com/@raine_wuz_here/video/7602675453630926098,#goblincoreaesthetic
https://www.tiktok.com/@raine_wuz_here/video/7602675453630926098,#losercore
https://www.tiktok.com/@raine_wuz_here/video/7602675453630926098,#coffee
https://www.tiktok.com/@sizexsy/video/7592079173435280670,#wifiskeleton
https://www.tiktok.com/@sizexsy/video/7592079173435280670,#love
https://www.tiktok.com/@sizexsy/video/7592079173435280670,#fool
https://www.tiktok.com/@sizexsy/video/7592079173435280670,#demo
https://www.tiktok.com/@sizexsy/video/7592079173435280670,#щп
https://www.tiktok.com/@sizexsy/video/7592079173435280670,#corecore
https://www.tiktok.com/@sizexsy/video/7592079173435280670,#loser
https://www.tiktok.com/@sizexsy/video/7592079173435280670,#core
https://www.tiktok.com/@sizexsy/video/7592079173435280670,#fypシ
https://www.tiktok.com/@sizexsy/video/7592079173435280670,#fyp
https://www.tiktok.com/@jealkyaa/video/7604725685990460693,#fyp
https://www.tiktok.com/@jealkyaa/video/7604725685990460693,#trinkets
https://www.tiktok.com/@jealkyaa/video/7604725685990460693,#keychain
https://www.tiktok.com/@jealkyaa/video/7604725685990460693,#keychains
https://www.tiktok.com/@aightbro808s/video/7554635683302821151,#goofball
https://www.tiktok.com/@aightbro808s/video/7554635683302821151,#corny
https://www.tiktok.com/@aightbro808s/video/7554635683302821151,#cornball
https://www.tiktok.com/@aightbro808s/video/7554635683302821151,#funny
https://www.tiktok.com/@trinket.collection_/video/7254198717325020418,#شعب_الصيني_ماله_حل😂😂
https://www.tiktok.com/@trinket.collection_/video/7254198717325020418,#شمعة_الصدفه
https://www.tiktok.com/@trinket.collection_/video/7254198717325020418,#توزيعات
https://www.tiktok.com/@hs_laki/video/7604488156959968520,#football
https://www.tiktok.com/@hs_laki/video/7604488156959968520,#edit
https://www.tiktok.com/@hs_laki/video/7604488156959968520,#fyp
https://www.tiktok.com/@hs_laki/video/7604488156959968520,#raphinha
https://www.tiktok.com/@hs_laki/video/7604488156959968520,#barcelona
https://www.tiktok.com/@archiveofgigi/video/7400856402861788459,#trinkets
https://www.tiktok.com/@archiveofgigi/video/7400856402861788459,#fyp
https://www.tiktok.com/@archiveofgigi/video/7400856402861788459,#trend
https://www.tiktok.com/@archiveofgigi/video/7400856402861788459,#japan
https://www.tiktok.com/@nosesoy_fanixd/video/7564821129328692500,#CapCut
https://www.tiktok.com/@nosesoy_fanixd/video/7564821129328692500,#dandysworld
https://www.tiktok.com/@tamanooki/video/7368885028333292842,#trinkets
https://www.tiktok.com/@tamanooki/video/7368885028333292842,#neokyo
https://www.tiktok.com/@dollcholyy/video/7559084857079467272,#losercore
https://www.tiktok.com/@dollcholyy/video/7559084857079467272,#fyp
https://www.tiktok.com/@dollcholyy/video/7559084857079467272,#school
https://www.tiktok.com/@dollcholyy/video/7559084857079467272,#schoolvlog
https://www.tiktok.com/@dollcholyy/video/7559084857079467272,#morute
https://www.tiktok.com/@kiba1958/video/7456647701753629995,#monchhichi
https://www.tiktok.com/@kiba1958/video/7456647701753629995,#trinkets
https://www.tiktok.com/@bl00dy_fl00r/video/7505574870525234462,#alt
https://www.tiktok.com/@bl00dy_fl00r/video/7505574870525234462,#losercore
https://www.tiktok.com/@bl00dy_fl00r/video/7505574870525234462,#femalemanipulator
https://www.tiktok.com/@bl00dy_fl00r/video/7505574870525234462,#grunge
https://www.tiktok.com/@bl00dy_fl00r/video/7505574870525234462,#fyp
https://www.tiktok.com/@teddyjangie/video/7482386975710809351,#toploader
https://www.tiktok.com/@teddyjangie/video/7482386975710809351,#toploaderdeco
https://www.tiktok.com/@teddyjangie/video/7482386975710809351,#juminoaesthetic
https://www.tiktok.com/@teddyjangie/video/7482386975710809351,#pudding
https://www.tiktok.com/@the_egg_muffin/video/7588289618156457230,#duet
https://www.tiktok.com/@_pessimistic/video/7577093567764614431,#impostersyndrome
https://www.tiktok.com/@_pessimistic/video/7577093567764614431,#corecore
https://www.tiktok.com/@_pessimistic/video/7577093567764614431,#mecore
https://www.tiktok.com/@_pessimistic/video/7577093567764614431,#hopecore
https://www.tiktok.com/@_pessimistic/video/7577093567764614431,#edit
https://www.tiktok.com/@pita.miss/video/7617069797544611092,#jumincoregirl
https://www.tiktok.com/@pita.miss/video/7617069797544611092,#весна
https://www.tiktok.com/@pita.miss/video/7617069797544611092,#стиль
https://www.tiktok.com/@pita.miss/video/7617069797544611092,#igari
https://www.tiktok.com/@pita.miss/video/7617069797544611092,#juminocore
https://www.tiktok.com/@_cherriecute/video/7573497158700207371,#juminocore
https://www.tiktok.com/@_cherriecute/video/7573497158700207371,#heiseiretro
https://www.tiktok.com/@_cherriecute/video/7573497158700207371,#keychain
https://www.tiktok.com/@_cherriecute/video/7573497158700207371,#accesorios
https://www.tiktok.com/@iseedeadp3ople1/video/7542867288958029064,#lattykk
https://www.tiktok.com/@juminojewels/video/7340846695246269702,#fyp
https://www.tiktok.com/@juminojewels/video/7340846695246269702,#foryoupage
https://www.tiktok.com/@juminojewels/video/7340846695246269702,#smallbusiness
https://www.tiktok.com/@lilypawzz/video/7277221063384190240,#fyp
https://www.tiktok.com/@wonieclub/video/7493296024430152991,#wonieclub
https://www.tiktok.com/@st4r.r0sie/video/7528774018716011798,#juminocore
https://www.tiktok.com/@st4r.r0sie/video/7528774018716011798,#cute
https://www.tiktok.com/@st4r.r0sie/video/7528774018716011798,#Aesthetic
https://www.tiktok.com/@st4r.r0sie/video/7528774018716011798,#pinterest
https://www.tiktok.com/@st4r.r0sie/video/7528774018716011798,#pinterestgirl
https://www.tiktok.com/@st4r.r0sie/video/7528774018716011798,#fyp
https://www.tiktok.com/@starlit.charms/video/7562967960017440030,#Roomtour
https://www.tiktok.com/@starlit.charms/video/7562967960017440030,#room
https://www.tiktok.com/@starlit.charms/video/7562967960017440030,#juminocore
https://www.tiktok.com/@starlit.charms/video/7562967960017440030,#kpop
https://www.tiktok.com/@starlit.charms/video/7562967960017440030,#posters
https://www.tiktok.com/@ww.com.vsfd/video/7583539141288447253,#song
https://www.tiktok.com/@ww.com.vsfd/video/7583539141288447253,#lyrics
https://www.tiktok.com/@ww.com.vsfd/video/7583539141288447253,#foryoupage
https://www.tiktok.com/@ww.com.vsfd/video/7583539141288447253,#wifiskeleton
https://www.tiktok.com/@ww.com.vsfd/video/7583539141288447253,#песня
https://www.tiktok.com/@vampire6223/video/7606058357488766216,#loser
https://www.tiktok.com/@vampire6223/video/7606058357488766216,#losercore
https://www.tiktok.com/@vampire6223/video/7606058357488766216,#core
https://www.tiktok.com/@vampire6223/video/7606058357488766216,#sad
https://www.tiktok.com/@girlyteengirlethan/video/7617111448493362462,#trinkets
https://www.tiktok.com/@girlyteengirlethan/video/7617111448493362462,#fyp
https://www.tiktok.com/@mimiu_hjkl/video/7603922843025427732,#trinkets
https://www.tiktok.com/@mimiu_hjkl/video/7603922843025427732,#fyp
https://www.tiktok.com/@z.zal_/video/7580849559014886667,#fyp
https://www.tiktok.com/@z.zal_/video/7580849559014886667,#fypシ゚
https://www.tiktok.com/@z.zal_/video/7580849559014886667,#losercore
https://www.tiktok.com/@z.zal_/video/7580849559014886667,#corecore
https://www.tiktok.com/@z.zal_/video/7580849559014886667,#core
https://www.tiktok.com/@serraixq/video/7604271732681100574,#s0rrow
https://www.tiktok.com/@serraixq/video/7604271732681100574,#sorrow
https://www.tiktok.com/@serraixq/video/7604271732681100574,#lyrics_songs
https://www.tiktok.com/@serraixq/video/7604271732681100574,#loser
https://www.tiktok.com/@serraixq/video/7604271732681100574,#losercore
https://www.tiktok.com/@serraixq/video/7604271732681100574,#music
https://www.tiktok.com/@serraixq/video/7604271732681100574,#lyrics
https://www.tiktok.com/@serraixq/video/7604271732681100574,#apathy
https://www.tiktok.com/@serraixq/video/7604271732681100574,#depressed
https://www.tiktok.com/@serraixq/video/7604271732681100574,#tilt
https://www.tiktok.com/@argen3420/video/7609224579483028766,#corecore
https://www.tiktok.com/@argen3420/video/7609224579483028766,#losercore
https://www.tiktok.com/@argen3420/video/7609224579483028766,#sadcore
https://www.tiktok.com/@argen3420/video/7609224579483028766,#sadedit
https://www.tiktok.com/@argen3420/video/7609224579483028766,#s0rrow
https://www.tiktok.com/@argen3420/video/7609224579483028766,#wifiskeleton
https://www.tiktok.com/@nekosweetie/video/7479736617045871880,#heisei
https://www.tiktok.com/@nekosweetie/video/7479736617045871880,#retro
